link,ano_lancamento
https://globoplay.globo.com/agora-na-tv/,Ano não encontrado
https://globoplay.globo.com/categorias/novelas/,Ano não encontrado
https://globoplay.globo.com/categorias/series/,Ano não encontrado
https://globoplay.globo.com/categorias/bbb-25/,Ano não encontrado
https://globoplay.globo.com/categorias/esportes/,Ano não encontrado
https://globoplay.globo.com/catalogo/,Ano não encontrado
https://globoplay.globo.com/busca/,Ano não encontrado
https://globoplay.globo.com/tapas-beijos/t/Vc7xtg87sq/,2011
https://globoplay.globo.com/o-mundo-dos-casados/t/Xjpqwjfdx1/,2020
https://globoplay.globo.com/lalola-entre-dois-mundos/t/DW2PFS1t5G/,2024
https://globoplay.globo.com/arcanjo-renegado/t/jqvngb9dQG/,2020
https://globoplay.globo.com/a-grande-familia/t/LXZMGBGCDc/,2001
https://globoplay.globo.com/law-order-svu/t/QmDvhKvtFg/,1999
https://globoplay.globo.com/downton-abbey/t/sFWJLbCKt8/,2010
https://globoplay.globo.com/the-good-doctor-o-bom-doutor/t/kmF21xZbHk/,2017
https://globoplay.globo.com/gabriela/t/86v68krS1n/,2012
https://globoplay.globo.com/grimm/t/1dkT2fRrsF/,2011
https://globoplay.globo.com/todo-mundo-odeia-o-chris/t/tDyxRKNSFp/,2005
https://globoplay.globo.com/origem/t/t89f1QshQP/,2022
https://globoplay.globo.com/chicago-pd-distrito-21/t/Sm7W5PV9rP/,2014
https://globoplay.globo.com/toma-la-da-ca/t/QC2RJcZJG9/,2008
https://globoplay.globo.com/sob-pressao/t/PhQ7Wtzn6C/,2017
https://globoplay.globo.com/havai-cinco-0/t/H2GkKZt6p6/,2010
https://globoplay.globo.com/chicago-med-atendimento-de-emergencia/t/9TVrrTFrw6/,2015
https://globoplay.globo.com/the-equalizer-a-protetora/t/zFbf7YPkKr/,2021
https://globoplay.globo.com/a-mulher-do-diabo/t/wzd1myJ1vG/,2022
https://globoplay.globo.com/mad-maria/t/Y2PbFntSxX/,2005
https://globoplay.globo.com/os-normais/t/sFMW9VLGpR/,2001
https://globoplay.globo.com/reinado/t/2CVHcsYdtX/,2013
https://globoplay.globo.com/vai-que-cola/t/hXPHTQtMbx/,2023
https://globoplay.globo.com/to-de-graca/t/VrRPgjKCDr/,2017
https://globoplay.globo.com/fbi-os-mais-procurados/t/xymQkmcQ8g/,2019
https://globoplay.globo.com/hilda-furacao/t/TWnMsVZR1P/,1998
https://globoplay.globo.com/evil-contatos-sobrenaturais/t/RQrdsnz6RJ/,2019
https://globoplay.globo.com/magnum-pi/t/NfvzLYnqyB/,2018
https://globoplay.globo.com/a-casa-das-sete-mulheres/t/ZsVHhwYMqZ/,2003
https://globoplay.globo.com/os-outros/t/vbN21h5xX1/,2023
https://globoplay.globo.com/justica-2/t/jYMcJmCvvV/,2024
https://globoplay.globo.com/bates-motel/t/R8grTD6DZR/,2013
https://globoplay.globo.com/fbi/t/zWtcvSmmcV/,2018
https://globoplay.globo.com/hospital-new-amsterdam/t/NWBdBQSbZ6/,2018
https://globoplay.globo.com/sessao-de-terapia/t/tKTBtfZdtv/,2012
https://globoplay.globo.com/the-handmaids-tale-o-conto-da-aia/t/QDFNw11dPX/,2017
https://globoplay.globo.com/swat-forca-de-intervencao/t/LhPc7z1Rzt/,2017
https://globoplay.globo.com/a-diarista/t/PbTJ6CgbTc/,Ano não encontrado
https://globoplay.globo.com/chicago-fire/t/2dGSQNqshx/,2012
https://globoplay.globo.com/fallen-luz-e-sombra/t/YzQPBh7vGd/,2024
https://globoplay.globo.com/as-five/t/XNH9T9JnR8/,2020
https://globoplay.globo.com/nancy-drew/t/WQkwx5p2hV/,2019
https://globoplay.globo.com/medium/t/Pvh2VNV5R7/,2007
https://globoplay.globo.com/rensga-hits!/t/qjzrpGwNvf/,2022
https://globoplay.globo.com/sai-de-baixo/t/mC1C7J9Qty/,Ano não encontrado
https://globoplay.globo.com/departure-a-investigacao/t/LsYmcBctHD/,2019
https://globoplay.globo.com/o-jogo-que-mudou-a-historia/t/dYKWzMQpYp/,2024
https://globoplay.globo.com/rubi/t/Sbnb7vWpqk/,2020
https://globoplay.globo.com/la-brea-a-terra-perdida/t/y7rx6P9MjQ/,2021
https://globoplay.globo.com/house/t/G8gLCwkkLr/,2005
https://globoplay.globo.com/ilha-de-ferro/t/ZdCNg87C7p/,2018
https://globoplay.globo.com/justica/t/bzdYvYGfcs/,2016
https://globoplay.globo.com/dragon-ball-z-kai/t/pXRPVRrvN7/,2009
https://globoplay.globo.com/fbi-internacional/t/dczbHLF7pL/,2021
https://globoplay.globo.com/amarras-do-amor/t/HhtzrzrRsq/,2019
https://globoplay.globo.com/turma-da-monica-origens/t/XK8CMXgMMm/,2024
https://globoplay.globo.com/pokemon-a-serie-sol-e-lua/t/FyNkd5knm9/,2016
https://globoplay.globo.com/ncis-hawaii/t/x1vwyCYcmX/,2021
https://globoplay.globo.com/o-tatuador-de-auschwitz/t/LtPRSmpzk1/,2024
https://globoplay.globo.com/pe-na-cova/t/sJXQHZR6ZJ/,2013
https://globoplay.globo.com/a-divisao/t/wDn8QHHyp2/,2019
https://globoplay.globo.com/chapa-quente/t/2JDQzNLwb5/,2015
https://globoplay.globo.com/pokemon-a-serie-sol-e-lua-ultralendas/t/mKhgtFLNHz/,2018
https://globoplay.globo.com/a-formula/t/Rzh6DT88xB/,2017
https://globoplay.globo.com/um-milhao-de-coisas-a-million-little-things/t/MhW9RHqDjf/,2018
https://globoplay.globo.com/pokemon-a-serie-sol-e-lua-ultra-aventuras/t/KVgztSg7ps/,2017
https://globoplay.globo.com/cosme-damiao-quase-santos/t/8cj7KPTFTb/,2024
https://globoplay.globo.com/carcereiros/t/xv2wy6DPSV/,2017
https://globoplay.globo.com/turma-da-monica-a-serie/t/GMkPKKQ8yn/,2022
https://globoplay.globo.com/a-muralha/t/fKG6b2HRzC/,2000
https://globoplay.globo.com/walker/t/kPDbbckVzr/,2021
https://globoplay.globo.com/sob-nova-direcao/t/sjJsTTckGM/,2003
https://globoplay.globo.com/sissi/t/hMprvgZzqy/,2021
https://globoplay.globo.com/fim/t/m7GrpwBpnM/,2023
https://globoplay.globo.com/mary-george/t/hXDvJqPRRk/,2024
https://globoplay.globo.com/o-album-da-grande-familia/t/phNxvcqQTB/,Ano não encontrado
https://globoplay.globo.com/felizes-para-sempre/t/VHjjb79tpT/,2015
https://globoplay.globo.com/transplant-uma-nova-vida/t/RzJ88NMPnw/,2020
https://globoplay.globo.com/memorial-de-maria-moura/t/mJRSsmmGWH/,1994
https://globoplay.globo.com/sem-medo-da-verdade/t/ZjKdqbnh2B/,2018
https://globoplay.globo.com/o-farejador/t/wvWK7qLg5t/,2013
https://globoplay.globo.com/hebe/t/mgCpZCmX6Y/,2019
https://globoplay.globo.com/os-maias/t/bX6sncbCFr/,2001
https://globoplay.globo.com/academia-de-vampiros/t/SzpYDXcpL9/,2021
https://globoplay.globo.com/law-order-crime-organizado/t/dpyTnhZtWx/,2022
https://globoplay.globo.com/a-vila/t/zdqrpWwYhc/,2017
https://globoplay.globo.com/montecristo/t/TpQv7KPd2m/,2023
https://globoplay.globo.com/private-eyes/t/rVdwBPWtXk/,2016
https://globoplay.globo.com/vicky-e-a-musa/t/P2zr9r6KsM/,2023
https://globoplay.globo.com/o-auto-da-compadecida-a-serie/t/C5RbgKhV5L/,1999
https://globoplay.globo.com/rbd-la-familia/t/5pvvp9sL8b/,2007
https://globoplay.globo.com/a-vida-pela-frente/t/6TZBMXG8nr/,2023
https://globoplay.globo.com/law-order/t/KFmkvfVBHz/,2022
https://globoplay.globo.com/segunda-chamada/t/DYpvss7pz5/,2019
https://globoplay.globo.com/desalma/t/wQrprh1cNk/,2020
https://globoplay.globo.com/supermax/t/89jbYjnsWF/,2016
https://globoplay.globo.com/as-aventuras-de-jose-durval/t/7nWG6Mnqh2/,2023
https://globoplay.globo.com/anos-rebeldes/t/Kcjrhk5VfC/,1992
https://globoplay.globo.com/dupla-identidade/t/mcCRZgrVkB/,2014
https://globoplay.globo.com/aquarela-do-brasil/t/891S6Q1BMK/,2000
https://globoplay.globo.com/family-law/t/8R96Y2gVft/,2020
https://globoplay.globo.com/cidade-dos-homens/t/FHBKRzd2Mt/,2017
https://globoplay.globo.com/filhos-da-patria/t/Z5ZMsKjjqq/,2017
