link,classificacao_etaria
https://globoplay.globo.com/agora-na-tv/,Não encontrada
https://globoplay.globo.com/categorias/novelas/,12
https://globoplay.globo.com/categorias/series/,Não encontrada
https://globoplay.globo.com/categorias/bbb-25/,Não encontrada
https://globoplay.globo.com/categorias/esportes/,Não encontrada
https://globoplay.globo.com/catalogo/,14
https://globoplay.globo.com/busca/,Não encontrada
https://globoplay.globo.com/tapas-beijos/t/Vc7xtg87sq/,12
https://globoplay.globo.com/o-mundo-dos-casados/t/Xjpqwjfdx1/,Autoclassificação etária: 16
https://globoplay.globo.com/arcanjo-renegado/t/jqvngb9dQG/,18
https://globoplay.globo.com/lalola-entre-dois-mundos/t/DW2PFS1t5G/,Autoclassificação etária: 14
https://globoplay.globo.com/a-grande-familia/t/LXZMGBGCDc/,12
https://globoplay.globo.com/law-order-svu/t/QmDvhKvtFg/,Autoclassificação etária: 18
https://globoplay.globo.com/downton-abbey/t/sFWJLbCKt8/,12
https://globoplay.globo.com/the-good-doctor-o-bom-doutor/t/kmF21xZbHk/,Autoclassificação etária: 12
https://globoplay.globo.com/gabriela/t/86v68krS1n/,16
https://globoplay.globo.com/grimm/t/1dkT2fRrsF/,16
https://globoplay.globo.com/todo-mundo-odeia-o-chris/t/tDyxRKNSFp/,10
https://globoplay.globo.com/origem/t/t89f1QshQP/,Autoclassificação etária: 16
https://globoplay.globo.com/chicago-pd-distrito-21/t/Sm7W5PV9rP/,16
https://globoplay.globo.com/toma-la-da-ca/t/QC2RJcZJG9/,14
https://globoplay.globo.com/chicago-med-atendimento-de-emergencia/t/9TVrrTFrw6/,Autoclassificação etária: 14
https://globoplay.globo.com/the-equalizer-a-protetora/t/zFbf7YPkKr/,16
https://globoplay.globo.com/havai-cinco-0/t/H2GkKZt6p6/,Autoclassificação etária: 14
https://globoplay.globo.com/sob-pressao/t/PhQ7Wtzn6C/,14
https://globoplay.globo.com/a-mulher-do-diabo/t/wzd1myJ1vG/,Autoclassificação etária: 16
https://globoplay.globo.com/os-normais/t/sFMW9VLGpR/,14
https://globoplay.globo.com/mad-maria/t/Y2PbFntSxX/,16
https://globoplay.globo.com/reinado/t/2CVHcsYdtX/,Autoclassificação etária: 16
https://globoplay.globo.com/fbi-os-mais-procurados/t/xymQkmcQ8g/,Autoclassificação etária: 14
https://globoplay.globo.com/vai-que-cola/t/hXPHTQtMbx/,12
https://globoplay.globo.com/to-de-graca/t/VrRPgjKCDr/,Autoclassificação etária: 12
https://globoplay.globo.com/a-casa-das-sete-mulheres/t/ZsVHhwYMqZ/,14
https://globoplay.globo.com/hilda-furacao/t/TWnMsVZR1P/,14
https://globoplay.globo.com/evil-contatos-sobrenaturais/t/RQrdsnz6RJ/,Autoclassificação etária: 16
https://globoplay.globo.com/os-outros/t/vbN21h5xX1/,16
https://globoplay.globo.com/magnum-pi/t/NfvzLYnqyB/,Autoclassificação etária: 14
https://globoplay.globo.com/justica-2/t/jYMcJmCvvV/,16
https://globoplay.globo.com/fbi/t/zWtcvSmmcV/,Autoclassificação etária: 14
https://globoplay.globo.com/bates-motel/t/R8grTD6DZR/,14
https://globoplay.globo.com/sessao-de-terapia/t/tKTBtfZdtv/,Autoclassificação etária: 12
https://globoplay.globo.com/hospital-new-amsterdam/t/NWBdBQSbZ6/,Autoclassificação etária: 12
https://globoplay.globo.com/the-handmaids-tale-o-conto-da-aia/t/QDFNw11dPX/,Autoclassificação etária: 18
https://globoplay.globo.com/swat-forca-de-intervencao/t/LhPc7z1Rzt/,Autoclassificação etária: 14
https://globoplay.globo.com/a-diarista/t/PbTJ6CgbTc/,14
https://globoplay.globo.com/fallen-luz-e-sombra/t/YzQPBh7vGd/,Autoclassificação etária: 16
https://globoplay.globo.com/chicago-fire/t/2dGSQNqshx/,Autoclassificação etária: 14
https://globoplay.globo.com/nancy-drew/t/WQkwx5p2hV/,Autoclassificação etária: 14
https://globoplay.globo.com/medium/t/Pvh2VNV5R7/,Autoclassificação etária: 16
https://globoplay.globo.com/as-five/t/XNH9T9JnR8/,Autoclassificação etária: 16
https://globoplay.globo.com/sai-de-baixo/t/mC1C7J9Qty/,12
https://globoplay.globo.com/departure-a-investigacao/t/LsYmcBctHD/,Autoclassificação etária: 14
https://globoplay.globo.com/o-jogo-que-mudou-a-historia/t/dYKWzMQpYp/,Autoclassificação etária: 18
https://globoplay.globo.com/rensga-hits!/t/qjzrpGwNvf/,Autoclassificação etária: 14
https://globoplay.globo.com/la-brea-a-terra-perdida/t/y7rx6P9MjQ/,Autoclassificação etária: 16
https://globoplay.globo.com/amarras-do-amor/t/HhtzrzrRsq/,Autoclassificação etária: 16
https://globoplay.globo.com/justica/t/bzdYvYGfcs/,16
https://globoplay.globo.com/rubi/t/Sbnb7vWpqk/,Autoclassificação etária: 14
https://globoplay.globo.com/house/t/G8gLCwkkLr/,Autoclassificação etária: 14
https://globoplay.globo.com/dragon-ball-z-kai/t/pXRPVRrvN7/,10
https://globoplay.globo.com/fbi-internacional/t/dczbHLF7pL/,Autoclassificação etária: 14
https://globoplay.globo.com/ilha-de-ferro/t/ZdCNg87C7p/,16
https://globoplay.globo.com/a-formula/t/Rzh6DT88xB/,12
https://globoplay.globo.com/ncis-hawaii/t/x1vwyCYcmX/,Autoclassificação etária: 14
https://globoplay.globo.com/pokemon-a-serie-sol-e-lua/t/FyNkd5knm9/,Autoclassificação etária: livre
https://globoplay.globo.com/turma-da-monica-origens/t/XK8CMXgMMm/,livre
https://globoplay.globo.com/o-tatuador-de-auschwitz/t/LtPRSmpzk1/,Autoclassificação etária: 18
https://globoplay.globo.com/pe-na-cova/t/sJXQHZR6ZJ/,14
https://globoplay.globo.com/a-divisao/t/wDn8QHHyp2/,Autoclassificação etária: 16
https://globoplay.globo.com/um-milhao-de-coisas-a-million-little-things/t/MhW9RHqDjf/,Autoclassificação etária: 14
https://globoplay.globo.com/pokemon-a-serie-sol-e-lua-ultralendas/t/mKhgtFLNHz/,Autoclassificação etária: livre
https://globoplay.globo.com/carcereiros/t/xv2wy6DPSV/,16
https://globoplay.globo.com/felizes-para-sempre/t/VHjjb79tpT/,16
https://globoplay.globo.com/walker/t/kPDbbckVzr/,Autoclassificação etária: 14
https://globoplay.globo.com/sob-nova-direcao/t/sjJsTTckGM/,livre
https://globoplay.globo.com/turma-da-monica-a-serie/t/GMkPKKQ8yn/,livre
https://globoplay.globo.com/cosme-damiao-quase-santos/t/8cj7KPTFTb/,Autoclassificação etária: 12
https://globoplay.globo.com/fim/t/m7GrpwBpnM/,18
https://globoplay.globo.com/o-album-da-grande-familia/t/phNxvcqQTB/,12
https://globoplay.globo.com/pokemon-a-serie-sol-e-lua-ultra-aventuras/t/KVgztSg7ps/,Autoclassificação etária: livre
https://globoplay.globo.com/o-album-da-grande-familia/t/phNxvcqQTB/,12
https://globoplay.globo.com/a-muralha/t/fKG6b2HRzC/,14
https://globoplay.globo.com/sissi/t/hMprvgZzqy/,Autoclassificação etária: 16
https://globoplay.globo.com/transplant-uma-nova-vida/t/RzJ88NMPnw/,Autoclassificação etária: 12
https://globoplay.globo.com/hebe/t/mgCpZCmX6Y/,14
https://globoplay.globo.com/memorial-de-maria-moura/t/mJRSsmmGWH/,16
https://globoplay.globo.com/os-maias/t/bX6sncbCFr/,16
https://globoplay.globo.com/as-aventuras-de-jose-durval/t/7nWG6Mnqh2/,14
https://globoplay.globo.com/sem-medo-da-verdade/t/ZjKdqbnh2B/,Autoclassificação etária: 16
https://globoplay.globo.com/academia-de-vampiros/t/SzpYDXcpL9/,Autoclassificação etária: 14
https://globoplay.globo.com/mary-george/t/hXDvJqPRRk/,Autoclassificação etária: 18
https://globoplay.globo.com/law-order-crime-organizado/t/dpyTnhZtWx/,Autoclassificação etária: 16
https://globoplay.globo.com/a-vila/t/zdqrpWwYhc/,12
https://globoplay.globo.com/o-farejador/t/wvWK7qLg5t/,Autoclassificação etária: 16
https://globoplay.globo.com/aquarela-do-brasil/t/891S6Q1BMK/,Autoclassificação etária: livre
https://globoplay.globo.com/montecristo/t/TpQv7KPd2m/,Autoclassificação etária: 16
https://globoplay.globo.com/desalma/t/wQrprh1cNk/,16
https://globoplay.globo.com/anos-rebeldes/t/Kcjrhk5VfC/,16
https://globoplay.globo.com/o-auto-da-compadecida-a-serie/t/C5RbgKhV5L/,12
https://globoplay.globo.com/a-vida-pela-frente/t/6TZBMXG8nr/,18
https://globoplay.globo.com/vicky-e-a-musa/t/P2zr9r6KsM/,Autoclassificação etária: 12
https://globoplay.globo.com/segunda-chamada/t/DYpvss7pz5/,16
https://globoplay.globo.com/law-order/t/KFmkvfVBHz/,Autoclassificação etária: 16
https://globoplay.globo.com/private-eyes/t/rVdwBPWtXk/,Autoclassificação etária: 14
https://globoplay.globo.com/rbd-la-familia/t/5pvvp9sL8b/,Erro
https://globoplay.globo.com/supermax/t/89jbYjnsWF/,16
https://globoplay.globo.com/dupla-identidade/t/mcCRZgrVkB/,16
https://globoplay.globo.com/family-law/t/8R96Y2gVft/,Autoclassificação etária: 14
https://globoplay.globo.com/cidade-dos-homens/t/FHBKRzd2Mt/,16
https://globoplay.globo.com/riacho-doce/t/sGscd9ywW2/,12
https://globoplay.globo.com/nada-sera-como-antes/t/5szkv52s1K/,14
https://globoplay.globo.com/filhos-da-patria/t/Z5ZMsKjjqq/,14
https://globoplay.globo.com/o-misterio-de-midwich/t/tYRtjq6LCs/,Autoclassificação etária: 16
https://globoplay.globo.com/chiquinha-gonzaga/t/BCRmfQftXT/,14
https://globoplay.globo.com/dois-irmaos/t/JZJMXTZ9w8/,16
https://globoplay.globo.com/alemao-os-dois-lados-do-complexo/t/9fkjHGWZCc/,16
https://globoplay.globo.com/um-so-coracao/t/t9p2nm9KY6/,16
https://globoplay.globo.com/o-cacador/t/pc666HdKrq/,16
https://globoplay.globo.com/assedio/t/kSYQtwcDsf/,16
https://globoplay.globo.com/o-canto-da-sereia/t/BfsNbkdmbB/,14
https://globoplay.globo.com/stella-blomkvist-investigacao-sem-limites/t/1gS2wFbFtC/,Autoclassificação etária: 16
https://globoplay.globo.com/passaporte-para-liberdade/t/96vwGLZt5b/,16
https://globoplay.globo.com/xilindro/t/Tdqcqj99nC/,12
https://globoplay.globo.com/o-quinto-dos-infernos/t/SzVzkKRdnG/,16
https://globoplay.globo.com/the-bold-type/t/pdmTnYy5KS/,Autoclassificação etária: 14
https://globoplay.globo.com/happy-end-por-tras-da-webcam/t/bZgMvMzsvV/,Autoclassificação etária: 18
https://globoplay.globo.com/sandy-junior/t/CnkwT9VqHc/,livre
https://globoplay.globo.com/todas-as-mulheres-do-mundo/t/Q8BWybfKQc/,14
https://globoplay.globo.com/acampamento-de-magia-para-jovens-bruxos/t/TnLP8nD8Nj/,Autoclassificação etária: livre
https://globoplay.globo.com/os-aspones/t/q6gQn71Hdb/,14
https://globoplay.globo.com/ligacoes-perigosas/t/dLxM2bFdx5/,14
https://globoplay.globo.com/ted-a-serie/t/Yc9jqPTjGN/,Autoclassificação etária: 16
https://globoplay.globo.com/meu-nome-e-liberdade/t/n9YYXpDsZR/,16
https://globoplay.globo.com/encantado's/t/2LHnHfBfn5/,12
https://globoplay.globo.com/o-dono-do-lar/t/skwYXXfTH2/,Autoclassificação etária: 12
https://globoplay.globo.com/a-cura/t/MTnKYKwx6h/,14
https://globoplay.globo.com/os-parcas-a-serie/t/pQDX5bT9Rd/,Autoclassificação etária: 12
https://globoplay.globo.com/resident-alien/t/QNyJh57LWP/,Autoclassificação etária: 14
https://globoplay.globo.com/unidade-basica/t/PFNzjP8cMQ/,Autoclassificação etária: 14
https://globoplay.globo.com/a-teia/t/kNnWqh9QDc/,16
https://globoplay.globo.com/cine-holliudy-a-serie/t/PxyrwywLMH/,12
https://globoplay.globo.com/aruanas/t/KjpKbKGkxq/,16
https://globoplay.globo.com/as-cariocas/t/q6dnnKQzpy/,14
https://globoplay.globo.com/quantum-leap-contratempos/t/qFSHLh82Ps/,14
https://globoplay.globo.com/amores-roubados/t/8XGFXR6jnR/,16
https://globoplay.globo.com/sex-appeal/t/GgQmsMyr2X/,14
https://globoplay.globo.com/mister-brau/t/wqf2f78fVw/,14
https://globoplay.globo.com/cilada/t/f8hN5ckNvj/,Autoclassificação etária: 14
https://globoplay.globo.com/as-travessuras-da-menina-ma/t/xbj7dcPRMN/,Autoclassificação etária: 14
https://globoplay.globo.com/to-nessa/t/FmPPnT5hwQ/,12
https://globoplay.globo.com/onde-esta-meu-coracao/t/ntx7g9SGCC/,16
https://globoplay.globo.com/queridos-amigos/t/9jnZwpPJKk/,14
https://globoplay.globo.com/trickster-o-agente-do-caos/t/RvGYNqWQrP/,Autoclassificação etária: 16
https://globoplay.globo.com/shippados/t/wkBg7DwPkn/,14
https://globoplay.globo.com/desejo/t/HScfSdtbFg/,16
https://globoplay.globo.com/doce-de-mae/t/881LYyHzBy/,14
https://globoplay.globo.com/treze-dias-longe-do-sol/t/7sgQ7zTs12/,14
https://globoplay.globo.com/coroner/t/pJV7zfMDnQ/,Autoclassificação etária: 16
https://globoplay.globo.com/irracional-a-ciencia-do-crime/t/6K9n9PVz1N/,14
https://globoplay.globo.com/as-brasileiras/t/xkJNZsdmX6/,14
https://globoplay.globo.com/o-tempo-e-o-vento/t/RSKgnqkHFJ/,14
https://globoplay.globo.com/o-clube/t/PPCvhNtTDL/,Autoclassificação etária: 16
https://globoplay.globo.com/anos-dourados/t/txrp9kQktq/,12
https://globoplay.globo.com/a-ilha-da-fantasia/t/8n9ZzZZTn6/,Autoclassificação etária: 14
https://globoplay.globo.com/a-justiceira/t/PxTCxMtyPr/,16
https://globoplay.globo.com/rota-66-a-policia-que-mata/t/mYMy5jHd7H/,16
https://globoplay.globo.com/maes-amor-e-vida/t/q9wKxHfDsv/,Autoclassificação etária: 14
https://globoplay.globo.com/ricos/t/ng2Gz5y8MK/,Autoclassificação etária: 14
https://globoplay.globo.com/spinners-vivendo-no-limite/t/RvsYPXHpvf/,Autoclassificação etária: 12
https://globoplay.globo.com/totalmente-sem-nocao-demais/t/nQxrjJr2L7/,Autoclassificação etária: 10
https://globoplay.globo.com/the-head-misterio-na-antartida/t/BK2v5YXLzg/,16
